school,"date_year","day_of_year",event,round,total,"predicted_total","overall_ranking"
"Avon IN",2024,319,"grand-national",prelims,,"93.79",1
"Carmel IN",2024,319,"grand-national",prelims,,"93.73",2
"Broken Arrow OK",2024,319,"grand-national",prelims,,"91.77",3
"William Mason OH",2024,319,"grand-national",prelims,,"89.57",4
"DobynsBennett TN",2024,319,"grand-national",prelims,,"88.31",5
"Brownsburg IN",2024,319,"grand-national",prelims,,"88.20",6
"Fishers IN",2024,319,"grand-national",prelims,,"87.43",7
"Centerville OH",2024,319,"grand-national",prelims,,"85.33",8
"Cedar Park TX",2024,319,"grand-national",prelims,,"84.86",9
"Tarpon Springs FL",2024,319,"grand-national",prelims,,"84.85",10
"Castle IN",2024,319,"grand-national",prelims,,"84.63",11
"OFallon Township IL",2024,319,"grand-national",prelims,,"84.40",12
"Mustang OK",2024,319,"grand-national",prelims,,"84.33",13
"American Fork UT",2024,319,"grand-national",prelims,,"84.15",14
"Franklin TN",2024,319,"grand-national",prelims,,"83.84",15
"Norwin PA",2024,319,"grand-national",prelims,,"83.62",16
"Marian Catholic IL",2024,319,"grand-national",prelims,,"83.50",17
"Homestead IN",2024,319,"grand-national",prelims,,"83.31",18
"Leander TX",2024,319,"grand-national",prelims,,"83.13",19
"Bridgeland TX",2024,319,"grand-national",prelims,,"83.12",20
"Rosemount MN",2024,319,"grand-national",prelims,,"83.11",21
"Bartlett TN",2024,319,"grand-national",prelims,,"82.79",22
"Jenison MI",2024,319,"grand-national",prelims,,"82.70",23
"Jenks OK",2024,319,"grand-national",prelims,,"82.53",24
"Walled Lake MI",2024,319,"grand-national",prelims,,"82.28",25
"Westlake UT",2024,319,"grand-national",prelims,,"82.22",26
"Stoneman Douglas FL",2024,319,"grand-national",prelims,,"82.11",27
"Center Grove IN",2024,319,"grand-national",prelims,,"82.09",28
"Catawba Ridge SC",2024,319,"grand-national",prelims,,"82.09",29
"Union OK",2024,319,"grand-national",prelims,,"82.08",30
"Prosper TX",2024,319,"grand-national",prelims,,"82.07",31
"Friendswood TX",2024,319,"grand-national",prelims,,"82.07",32
"Goshen IN",2024,319,"grand-national",prelims,,"82.07",33
"Rockford MI",2024,319,"grand-national",prelims,,"82.07",34
"Cheney WA",2024,319,"grand-national",prelims,,"82.07",35
"Campbell County KY",2024,319,"grand-national",prelims,,"82.07",36
"ReethsPuffer MI",2024,319,"grand-national",prelims,,"82.07",37
"DeWitt MI",2024,319,"grand-national",prelims,,"82.07",38
"South Point OH",2024,319,"grand-national",prelims,,"82.07",39
"Christian Academy of Louisville KY",2024,319,"grand-national",prelims,,"82.07",40
"Garrard County KY",2024,319,"grand-national",prelims,,"82.07",41
"Clover SC",2024,319,"grand-national",prelims,,"82.05",42
"South Jones MS",2024,319,"grand-national",prelims,,"82.04",43
"Green Level NC",2024,319,"grand-national",prelims,,"82.04",44
"Cass GA",2024,319,"grand-national",prelims,,"82.02",45
"Deer Creek OK",2024,319,"grand-national",prelims,,"82.02",46
"Noblesville IN",2024,319,"grand-national",prelims,,"82.00",47
"Lawrence Township IN",2024,319,"grand-national",prelims,,"81.99",48
"Argyle TX",2024,319,"grand-national",prelims,,"81.98",49
"Kickapoo MO",2024,319,"grand-national",prelims,,"81.98",50
"Panther Creek NC",2024,319,"grand-national",prelims,,"81.96",51
"Ben Davis IN",2024,319,"grand-national",prelims,,"81.91",52
"Murray KY",2024,319,"grand-national",prelims,,"81.87",53
"Camdenton MO",2024,319,"grand-national",prelims,,"81.78",54
"Floyd Central IN",2024,319,"grand-national",prelims,,"81.74",55
"Lakota East OH",2024,319,"grand-national",prelims,,"81.55",56
"DeSoto Central MS",2024,319,"grand-national",prelims,,"81.33",57
"Bourbon County KY",2024,319,"grand-national",prelims,,"81.17",58
"Bob Jones AL",2024,319,"grand-national",prelims,,"81.16",59
"Miamisburg OH",2024,319,"grand-national",prelims,,"81.13",60
"Anderson County KY",2024,319,"grand-national",prelims,,"81.02",61
"Milford OH",2024,319,"grand-national",prelims,,"80.72",62
"Greenfield Central IN",2024,319,"grand-national",prelims,,"80.61",63
"Cary NC",2024,319,"grand-national",prelims,,"80.50",64
"South Oldham KY",2024,319,"grand-national",prelims,,"80.30",65
"Cambridge GA",2024,319,"grand-national",prelims,,"80.28",66
"Worthington Kilbourne OH",2024,319,"grand-national",prelims,,"80.14",67
"Nixa MO",2024,319,"grand-national",prelims,,"79.73",68
"Bellbrook OH",2024,319,"grand-national",prelims,,"79.51",69
"Columbus IN",2024,319,"grand-national",prelims,,"79.34",70
"Greendale WI",2024,319,"grand-national",prelims,,"79.27",71
"Archbishop Alter OH",2024,319,"grand-national",prelims,,"78.41",72
"Central Crossing OH",2024,319,"grand-national",prelims,,"77.35",73
"Finneytown OH",2024,319,"grand-national",prelims,,"76.82",74
"Dixie Heights KY",2024,319,"grand-national",prelims,,"76.44",75
"Springboro OH",2024,319,"grand-national",prelims,,"75.53",76
"Colerain OH",2024,319,"grand-national",prelims,,"75.25",77
"Avon OH",2024,319,"grand-national",prelims,,"74.68",78
"Monticello IL",2024,319,"grand-national",prelims,,"74.43",79
"Shawe Memorial IN",2024,319,"grand-national",prelims,,"74.22",80
"Pulaski County KY",2024,319,"grand-national",prelims,,"74.06",81
"Boyle County KY",2024,319,"grand-national",prelims,,"73.07",82
"Meade County KY",2024,319,"grand-national",prelims,,"72.44",83
"Norton OH",2024,319,"grand-national",prelims,,"72.23",84
"Owen County KY",2024,319,"grand-national",prelims,,"71.46",85
"Hamilton OH",2024,319,"grand-national",prelims,,"71.38",86
"West Carrollton OH",2024,319,"grand-national",prelims,,"71.16",87
"Batesville IN",2024,319,"grand-national",prelims,,"69.53",88
"Lebanon OH",2024,319,"grand-national",prelims,,"67.65",89
"John Hardin KY",2024,319,"grand-national",prelims,,"67.49",90
"Walter E Stebbins OH",2024,319,"grand-national",prelims,,"67.10",91
"Hollister MO",2024,319,"grand-national",prelims,,"66.24",92
"Newberry FL",2024,319,"grand-national",prelims,,"65.84",93
"Tippecanoe OH",2024,319,"grand-national",prelims,,"65.52",94
"Carlisle OH",2024,319,"grand-national",prelims,,"64.67",95
"Monrovia IN",2024,319,"grand-national",prelims,,"62.98",96
"Warren Local OH",2024,319,"grand-national",prelims,,"62.84",97
"East Clinton OH",2024,319,"grand-national",prelims,,"62.64",98
"ClintonMassie OH",2024,319,"grand-national",prelims,,"62.47",99
"Herscher IL",2024,319,"grand-national",prelims,,"61.78",100
