school,"date_year","day_of_year",event,round,total,"predicted_total","overall_ranking"
"Carmel IN",2024,319,"grand-national",semifinal,,"96.69",1
"Avon IN",2024,319,"grand-national",semifinal,,"96.56",2
"Broken Arrow OK",2024,319,"grand-national",semifinal,,"96.03",3
"William Mason OH",2024,319,"grand-national",semifinal,,"93.34",4
"Tarpon Springs FL",2024,319,"grand-national",semifinal,,"92.83",5
"DobynsBennett TN",2024,319,"grand-national",semifinal,,"91.05",6
"Fishers IN",2024,319,"grand-national",semifinal,,"89.42",7
"Brownsburg IN",2024,319,"grand-national",semifinal,,"89.38",8
"Castle IN",2024,319,"grand-national",semifinal,,"88.77",9
"American Fork UT",2024,319,"grand-national",semifinal,,"87.74",10
"Prosper TX",2024,319,"grand-national",semifinal,,"87.74",11
"Cedar Park TX",2024,319,"grand-national",semifinal,,"87.14",12
"OFallon Township IL",2024,319,"grand-national",semifinal,,"85.81",13
"Mustang OK",2024,319,"grand-national",semifinal,,"85.76",14
"Homestead IN",2024,319,"grand-national",semifinal,,"85.62",15
"Leander TX",2024,319,"grand-national",semifinal,,"85.45",16
"Jenks OK",2024,319,"grand-national",semifinal,,"85.31",17
"Bridgeland TX",2024,319,"grand-national",semifinal,,"85.29",18
"South Jones MS",2024,319,"grand-national",semifinal,,"85.26",19
"Friendswood TX",2024,319,"grand-national",semifinal,,"85.25",20
"Milford OH",2024,319,"grand-national",semifinal,,"85.25",21
"Noblesville IN",2024,319,"grand-national",semifinal,,"85.25",22
"Camdenton MO",2024,319,"grand-national",semifinal,,"85.25",23
"Clover SC",2024,319,"grand-national",semifinal,,"85.25",24
"DeSoto Central MS",2024,319,"grand-national",semifinal,,"85.25",25
"Greenfield Central IN",2024,319,"grand-national",semifinal,,"85.25",26
"Columbus IN",2024,319,"grand-national",semifinal,,"85.25",27
"Kickapoo MO",2024,319,"grand-national",semifinal,,"85.25",28
"Anderson County KY",2024,319,"grand-national",semifinal,,"85.25",29
"Ben Davis IN",2024,319,"grand-national",semifinal,,"85.25",30
"Deer Creek OK",2024,319,"grand-national",semifinal,,"85.25",31
"Cheney WA",2024,319,"grand-national",semifinal,,"85.25",32
"Floyd Central IN",2024,319,"grand-national",semifinal,,"85.25",33
"Greendale WI",2024,319,"grand-national",semifinal,,"85.25",34
"Campbell County KY",2024,319,"grand-national",semifinal,,"85.25",35
"Central Crossing OH",2024,319,"grand-national",semifinal,,"85.25",36
"Bellbrook OH",2024,319,"grand-national",semifinal,,"85.25",37
"Meade County KY",2024,319,"grand-national",semifinal,,"85.25",38
"Walter E Stebbins OH",2024,319,"grand-national",semifinal,,"85.25",39
"ReethsPuffer MI",2024,319,"grand-national",semifinal,,"85.25",40
"Springboro OH",2024,319,"grand-national",semifinal,,"85.25",41
"Hamilton OH",2024,319,"grand-national",semifinal,,"85.25",42
"South Oldham KY",2024,319,"grand-national",semifinal,,"85.25",43
"Norton OH",2024,319,"grand-national",semifinal,,"85.25",44
"Finneytown OH",2024,319,"grand-national",semifinal,,"85.25",45
"Pulaski County KY",2024,319,"grand-national",semifinal,,"85.25",46
"Monticello IL",2024,319,"grand-national",semifinal,,"85.25",47
"Boyle County KY",2024,319,"grand-national",semifinal,,"85.25",48
"Avon OH",2024,319,"grand-national",semifinal,,"85.25",49
"Dixie Heights KY",2024,319,"grand-national",semifinal,,"85.25",50
"Lebanon OH",2024,319,"grand-national",semifinal,,"85.25",51
"John Hardin KY",2024,319,"grand-national",semifinal,,"85.25",52
"Hollister MO",2024,319,"grand-national",semifinal,,"85.25",53
"Tippecanoe OH",2024,319,"grand-national",semifinal,,"85.25",54
"Shawe Memorial IN",2024,319,"grand-national",semifinal,,"85.25",55
"DeWitt MI",2024,319,"grand-national",semifinal,,"85.25",56
"Newberry FL",2024,319,"grand-national",semifinal,,"85.25",57
"Owen County KY",2024,319,"grand-national",semifinal,,"85.25",58
"Monrovia IN",2024,319,"grand-national",semifinal,,"85.25",59
"Carlisle OH",2024,319,"grand-national",semifinal,,"85.25",60
"Warren Local OH",2024,319,"grand-national",semifinal,,"85.25",61
"West Carrollton OH",2024,319,"grand-national",semifinal,,"85.25",62
"ClintonMassie OH",2024,319,"grand-national",semifinal,,"85.25",63
"Colerain OH",2024,319,"grand-national",semifinal,,"85.25",64
"Batesville IN",2024,319,"grand-national",semifinal,,"85.25",65
"South Point OH",2024,319,"grand-national",semifinal,,"85.25",66
"East Clinton OH",2024,319,"grand-national",semifinal,,"85.25",67
"Christian Academy of Louisville KY",2024,319,"grand-national",semifinal,,"85.25",68
"Garrard County KY",2024,319,"grand-national",semifinal,,"85.25",69
"Stoneman Douglas FL",2024,319,"grand-national",semifinal,,"85.23",70
"Franklin TN",2024,319,"grand-national",semifinal,,"85.21",71
"Center Grove IN",2024,319,"grand-national",semifinal,,"85.17",72
"Centerville OH",2024,319,"grand-national",semifinal,,"85.16",73
"Catawba Ridge SC",2024,319,"grand-national",semifinal,,"85.14",74
"Green Level NC",2024,319,"grand-national",semifinal,,"85.14",75
"Union OK",2024,319,"grand-national",semifinal,,"85.12",76
"Worthington Kilbourne OH",2024,319,"grand-national",semifinal,,"85.12",77
"Panther Creek NC",2024,319,"grand-national",semifinal,,"85.05",78
"Herscher IL",2024,319,"grand-national",semifinal,,"84.96",79
"Nixa MO",2024,319,"grand-national",semifinal,,"84.91",80
"Lawrence Township IN",2024,319,"grand-national",semifinal,,"84.89",81
"Westlake UT",2024,319,"grand-national",semifinal,,"84.88",82
"Rosemount MN",2024,319,"grand-national",semifinal,,"84.74",83
"Cass GA",2024,319,"grand-national",semifinal,,"84.71",84
"Norwin PA",2024,319,"grand-national",semifinal,,"84.63",85
"Argyle TX",2024,319,"grand-national",semifinal,,"84.58",86
"Lakota East OH",2024,319,"grand-national",semifinal,,"84.56",87
"Walled Lake MI",2024,319,"grand-national",semifinal,,"84.41",88
"Goshen IN",2024,319,"grand-national",semifinal,,"84.34",89
"Cambridge GA",2024,319,"grand-national",semifinal,,"84.32",90
"Jenison MI",2024,319,"grand-national",semifinal,,"84.26",91
"Cary NC",2024,319,"grand-national",semifinal,,"83.57",92
"Bartlett TN",2024,319,"grand-national",semifinal,,"83.26",93
"Bob Jones AL",2024,319,"grand-national",semifinal,,"82.46",94
"Rockford MI",2024,319,"grand-national",semifinal,,"82.42",95
"Marian Catholic IL",2024,319,"grand-national",semifinal,,"81.99",96
"Miamisburg OH",2024,319,"grand-national",semifinal,,"80.12",97
"Archbishop Alter OH",2024,319,"grand-national",semifinal,,"78.31",98
"Bourbon County KY",2024,319,"grand-national",semifinal,,"78.03",99
"Murray KY",2024,319,"grand-national",semifinal,,"77.59",100
